land_cover,model,n,pearson_r,ols_slope,ols_intercept,x_min,x_max,y_min,y_max
cropland,DNN,3499,0.94177343500304644,0.81717031935506901,3.6274906290305666,-3.6110979591836729,76.334285714285713,1.337300062179565,56.220680236816413
cropland,GBRT,3499,0.93395781491559182,0.86450816287886445,1.9580608625152292,-3.6110979591836729,76.334285714285713,-1.3732188036494239,58.543501889866143
cropland,LR,3499,0.82995163922013326,0.85550922046355204,2.3442865541960312,-3.6110979591836729,76.334285714285713,-4.9598640448166194,68.011863722977836
cropland,SVR,3499,0.92681612805635427,0.86798934652271398,1.3672107003339045,-3.6110979591836729,76.334285714285713,-10.52219769623164,54.836297028153773
forest,DNN,3965,0.94941289144647478,0.84652556962649284,3.2055199866201955,-2.2728979591836729,69.174285714285716,0.76059401035308838,62.789165496826172
forest,GBRT,3965,0.94002986266852806,0.88540255976179083,2.2263485429201992,-2.2728979591836729,69.174285714285716,-1.9073790783870039,73.094526048860928
forest,LR,3965,0.84510247760352264,0.77438648939617338,4.2205547705486488,-2.2728979591836729,69.174285714285716,-13.670842830625739,53.803054362530901
forest,SVR,3965,0.93991369555961468,0.90032607090080097,1.3821929273734712,-2.2728979591836729,69.174285714285716,-0.49096436756931178,68.177142392155574
grassland,DNN,4221,0.96277917441129268,0.87401666846037984,2.6920018507956542,-4.5970612244897957,83.785714285714278,1.19309401512146,72.884071350097656
grassland,GBRT,4221,0.91147667073320959,0.8496491115920336,3.6839527424674632,-4.5970612244897957,83.785714285714278,-3.160545820869193,81.311568833831572
grassland,LR,4221,0.8225441755577414,0.66207100405375763,5.2534977053480683,-4.5970612244897957,83.785714285714278,-6.7666980674484059,57.073885588907373
grassland,SVR,4221,0.95462881457497373,0.90015777600016533,1.1244079529325552,-4.5970612244897957,83.785714285714278,-1.01563173161734,83.784802991746545
savanna,DNN,4305,0.94980298796581808,0.87935140576134807,2.6355988094032425,-3.1731265306122451,82.756326530612228,2.7859759330749512,75.344795227050781
savanna,GBRT,4305,0.82923922829831398,0.85836894913604467,5.4472483990834242,-3.1731265306122451,82.756326530612228,-1.894739421771549,79.362393294254588
savanna,LR,4305,0.78924138152866441,0.55967501398922459,6.4595196313863541,-3.1731265306122451,82.756326530612228,-2.6461464068733211,58.773324670403397
savanna,SVR,4305,0.93425203907816845,0.88570284555718126,1.5485370102419818,-3.1731265306122451,82.756326530612228,-0.220538059713558,79.945013965949926
