land_cover,model,source_rows,complete_pairs,missing_pairs,one_sided_missing_pairs,x_matches_first_model_within_land,n,pearson_r,pearson_p,spearman_rho,spearman_p,ols_slope,ols_slope_ci_low,ols_slope_ci_high,ols_intercept,ols_r_squared,rmse_to_identity,mae_to_identity,x_min,x_max,y_min,y_max
cropland,DNN,4305,3499,806,0,True,3499,0.941773435,0,0.9490799632,0,0.8171703194,0.8074969755,0.8268436632,3.627490629,0.8869372029,4.876411112,3.595716489,-3.611097959,76.33428571,1.337300062,56.22068024
cropland,GBRT,4305,3499,806,0,True,3499,0.9339578149,0,0.9432225356,0,0.8645081629,0.8535401824,0.8754761434,1.958060863,0.8722772,4.980205985,3.35668585,-3.611097959,76.33428571,-1.373218804,58.54350189
cropland,LR,4305,3499,806,0,True,3499,0.8299516392,0,0.8518681272,0,0.8555092205,0.8364445828,0.8745738581,2.344286554,0.6888197234,8.260624327,5.778887123,-3.611097959,76.33428571,-4.959864045,68.01186372
cropland,SVR,4305,3499,806,0,True,3499,0.9268161281,0,0.9398279661,0,0.8679893465,0.8563293276,0.8796493655,1.3672107,0.8589881352,5.268705902,3.332967681,-3.611097959,76.33428571,-10.5221977,54.83629703
forest,DNN,4305,3965,340,0,True,3965,0.9494128914,0,0.9547416744,0,0.8465255696,0.8378053883,0.855245751,3.205519987,0.9013848384,4.610157928,3.379643771,-2.272897959,69.17428571,0.7605940104,62.7891655
forest,GBRT,4305,3965,340,0,True,3965,0.9400298627,0,0.9442893799,0,0.8854025598,0.875397042,0.8954080775,2.226348543,0.8836561427,4.901594046,3.488144678,-2.272897959,69.17428571,-1.907379078,73.09452605
forest,LR,4305,3965,340,0,True,3965,0.8451024776,0,0.8812355825,0,0.7743864894,0.7591301764,0.7896428024,4.220554771,0.7141981977,7.747218334,5.824294309,-2.272897959,69.17428571,-13.67084283,53.80305436
forest,SVR,4305,3965,340,0,True,3965,0.9399136956,0,0.9455891496,0,0.9003260709,0.8901411065,0.9105110353,1.382192927,0.8834377551,4.924266592,3.206467039,-2.272897959,69.17428571,-0.4909643676,68.17714239
grassland,DNN,4305,4221,84,0,True,4221,0.9627791744,0,0.952831622,0,0.8740166685,0.8666105665,0.8814227704,2.692001851,0.9269437387,4.174065495,3.019595473,-4.597061224,83.78571429,1.193094015,72.88407135
grassland,GBRT,4305,4221,84,0,True,4221,0.9114766707,0,0.8177760845,0,0.8496491116,0.838075328,0.8612228952,3.683952742,0.8307897213,6.279298527,4.461726818,-4.597061224,83.78571429,-3.160545821,81.31156883
grassland,LR,4305,4221,84,0,True,4221,0.8225441756,0,0.804745338,0,0.6620710041,0.6482545233,0.6758874848,5.253497705,0.6765789207,8.418232484,6.206977462,-4.597061224,83.78571429,-6.766698067,57.07388559
grassland,SVR,4305,4221,84,0,True,4221,0.9546288146,0,0.953938965,0,0.900157776,0.8916821019,0.9086334501,1.124407953,0.9113161736,4.412555774,2.708718107,-4.597061224,83.78571429,-1.015631732,83.78480299
savanna,DNN,4305,4305,0,0,True,4305,0.949802988,0,0.9024340593,0,0.8793514058,0.8706947963,0.8880080152,2.635598809,0.9021257159,3.889042495,2.864577824,-3.173126531,82.75632653,2.785975933,75.34479523
savanna,GBRT,4305,4305,0,0,True,4305,0.8292392283,0,0.7657429996,0,0.8583689491,0.8410784288,0.8756594694,5.447248399,0.6876376977,7.961797938,5.639295328,-3.173126531,82.75632653,-1.894739422,79.36239329
savanna,LR,4305,4305,0,0,True,4305,0.7892413815,0,0.7536635189,0,0.559675014,0.5466602048,0.5726898231,6.459519631,0.6229019583,7.420311908,5.644414036,-3.173126531,82.75632653,-2.646146407,58.77332467
savanna,SVR,4305,4305,0,0,True,4305,0.9342520391,0,0.8960928249,0,0.8857028456,0.875598545,0.8958071461,1.54853701,0.8728268725,4.257900661,2.817036381,-3.173126531,82.75632653,-0.2205380597,79.94501397
